Price,Property Details,Bedrooms,Bathrooms,Size,Property Type,Postal Code
1498000,"2bds2ba1,280sqft- Condo for sale",2,2,"1,280",Condo for sale,V6E 4M2
1399000,"3bds3ba1,257sqft- Townhouse for sale",3,3,"1,257",Townhouse for sale,V5T 3Z5
799900,2bds2ba880sqft- Condo for sale,2,2,880,Condo for sale,V6Z 2M9
5998000,"6bds7ba4,343sqft- House for sale",6,7,"4,343",House for sale,V6P 2C3
715000,"2bds2ba1,247sqft- Condo for sale",2,2,"1,247",Condo for sale,V5S 2L7
1859000,"2bds3ba1,824sqft- Townhouse for sale",2,3,"1,824",Townhouse for sale,V6G 2W6
2989000,"4bds3ba2,520sqft- House for sale",4,3,"2,520",House for sale,V5V 1X1
789000,2bds2ba749sqft- Condo for sale,2,2,749,Condo for sale,V6E 4S1
1349000,"2bds2ba1,008sqft- Townhouse for sale",2,2,"1,008",Townhouse for sale,V6M 1P4
1199000,"2bds2ba1,284sqft- Condo for sale",2,2,"1,284",Condo for sale,V6G 3C8
2668800,"3bds4ba1,978sqft- Townhouse for sale",3,4,"1,978",Townhouse for sale,V6P 4K2
489000,1bd1ba612sqft- Condo for sale,1,1,612,Condo for sale,V6G 1R3
679000,1bd1ba701sqft- Condo for sale,1,1,701,Condo for sale,V6G 1T6
2580000,"6bds3ba2,438sqft- House for sale",6,3,"2,438",House for sale,V6K 2C6
699000,2bds1ba698sqft- Condo for sale,2,1,698,Condo for sale,V5T 1P7
7498000,"3bds5ba3,449sqft- Condo for sale",3,5,"3,449",Condo for sale,V6B 0N4
3298000,"3bds3ba1,516sqft- Condo for sale",3,3,"1,516",Condo for sale,V6Z 3H6
2198000,"6bds4ba2,560sqft- House for sale",6,4,"2,560",House for sale,V5X 1V6
1949000,"2bds3ba1,409sqft- Townhouse for sale",2,3,"1,409",Townhouse for sale,V6G 3J9
1849000,"5bds3ba2,380sqft- House for sale",5,3,"2,380",House for sale,V5L 2K1
968000,"3bds2ba1,098sqft- Condo for sale",3,2,"1,098",Condo for sale,V6B 0E9
1200000,2bds2ba808sqft- Condo for sale,2,2,808,Condo for sale,V6R 1A8
13800000,"7bds4ba5,613sqft- House for sale",7,4,"5,613",House for sale,V6J 4H5
1599000,"4bds2ba1,787sqft- House for sale",4,2,"1,787",House for sale,V5N 2R2
1075000,"3bds3ba1,693sqft- Townhouse for sale",3,3,"1,693",Townhouse for sale,V5P 4V4
2509900,"3bds3ba1,583sqft- Townhouse for sale",3,3,"1,583",Townhouse for sale,V5Y 0B6
5680000,"2bds3ba1,886sqft- Condo for sale",2,3,"1,886",Condo for sale,V6C 0C1
1498888,"4bds2ba1,760sqft- House for sale",4,2,"1,760",House for sale,V5X 2K7
1938000,"6bds4ba2,029sqft- House for sale",6,4,"2,029",House for sale,V5K 2M2
2375000,"5bds4ba2,069sqft- House for sale",5,4,"2,069",House for sale,V5L 4H3
1348000,"2bds2ba1,010sqft- Condo for sale",2,2,"1,010",Condo for sale,V6K 1C5
9680000,"4bds4ba2,769sqft- Condo for sale",4,4,"2,769",Condo for sale,V6G 1B9
479000,1bd1ba612sqft- Condo for sale,1,1,612,Condo for sale,V6G 1R3
7680000,"7bds9ba7,030sqft- House for sale",7,9,"7,030",House for sale,V6M 3N5
1249900,"2bds3ba1,141sqft- Townhouse for sale",2,3,"1,141",Townhouse for sale,V5N 3V8
1478000,"3bds3ba1,129sqft- Multi-family home for sale",3,3,"1,129",Multi-family home for sale,V5L 2Z5
3500000,"3bds3ba2,463sqft- Condo for sale",3,3,"2,463",Condo for sale,V6G 1Z1
1685000,"4bds2ba1,889sqft- House for sale",4,2,"1,889",House for sale,V5K 1H8
1560000,"6bds2ba1,899sqft- House for sale",6,2,"1,899",House for sale,V5L 2X6
6225000,"3bds4ba3,954sqft- House for sale",3,4,"3,954",House for sale,V6R 1L1
2270000,"6bds3ba3,100sqft- House for sale",6,3,"3,100",House for sale,V5S 3B5
6990000,"6bds7ba4,726sqft- House for sale",6,7,"4,726",House for sale,V6M 2N7
4420000,"6bds4ba3,473sqft- House for sale",6,4,"3,473",House for sale,V6R 2R3
1499888,"3bds3ba1,604sqft- Townhouse for sale",3,3,"1,604",Townhouse for sale,V6P 4X2
5380000,"5bds6ba4,027sqft- House for sale",5,6,"4,027",House for sale,V6N 3V5
1475000,"2bds2ba1,209sqft- Townhouse for sale",2,2,"1,209",Townhouse for sale,V6K 1G5
619000,1bd1ba661sqft- Condo for sale,1,1,661,Condo for sale,V6K 1B8
4218000,"7bds7ba6,555sqft- Condo for sale",7,7,"6,555",Condo for sale,V6B 6J3
5498000,"4bds4ba4,599sqft- House for sale",4,4,"4,599",House for sale,V6J 3N6
7800000,"2bds3ba2,254sqft- House for sale",2,3,"2,254",House for sale,V6N 1N2
11980000,"6bds7ba5,424sqft- House for sale",6,7,"5,424",House for sale,V6M 3M2
3798000,"3bds3ba1,590sqft- Condo for sale",3,3,"1,590",Condo for sale,V6Z 2P5
1100000,"2bds2ba1,186sqft- Condo for sale",2,2,"1,186",Condo for sale,V6B 6B9
1950000,"5bds3ba2,823sqft- House for sale",5,3,"2,823",House for sale,V5T 2A5
3180000,"4bds4ba2,652sqft- House for sale",4,4,"2,652",House for sale,V5Y 2W9
5000000,"4bds4ba2,991sqft- Condo for sale",4,4,"2,991",Condo for sale,V6J 2K6
6998000,"5bds5ba4,277sqft- House for sale",5,5,"4,277",House for sale,V6R 1H7
6888000,"4bds5ba5,011sqft- House for sale",4,5,"5,011",House for sale,V6R 1B4
1899000,"3bds2ba1,998sqft- House for sale",3,2,"1,998",House for sale,V5R 4L6
699900,2bds1ba753sqft- Condo for sale,2,1,753,Condo for sale,V5N 1R8
648800,2bds2ba850sqft- Condo for sale,2,2,850,Condo for sale,V5R 6A7
3798000,"4bds3ba3,623sqft- House for sale",4,3,"3,623",House for sale,V6N 4G1
1631000,"5bds5ba2,659sqft- House for sale",5,5,"2,659",House for sale,V5P 2L9
3999000,"5bds4ba3,368sqft- House for sale",5,4,"3,368",House for sale,V6H 2B8
1399000,"2bds3ba1,323sqft- Townhouse for sale",2,3,"1,323",Townhouse for sale,V6Z 3C5
849000,1bd2ba670sqft- Condo for sale,1,2,670,Condo for sale,V6B 6M3
11880000,"7bds8ba5,660sqft- House for sale",7,8,"5,660",House for sale,V6M 3N7
3250000,"5bds5ba2,084sqft- Multi-family home for sale",5,5,"2,084",Multi-family home for sale,V6M 2B1
818000,2bds1ba669sqft- Condo for sale,2,1,669,Condo for sale,V6K 1E1
1145500,2bds2ba844sqft- Condo for sale,2,2,844,Condo for sale,V5V 2Z7
4980000,"7bds6ba4,695sqft- House for sale",7,6,"4,695",House for sale,V6R 2L3
639900,2bds1ba678sqft- Condo for sale,2,1,678,Condo for sale,V5L 1J8
1199000,"3bds3ba1,042sqft- Multi-family home for sale",3,3,"1,042",Multi-family home for sale,V5P 2T4
7480000,"2bds3ba2,600sqft- Condo for sale",2,3,"2,600",Condo for sale,V6C 0C1
6499000,"3bds3ba2,723sqft- Condo for sale",3,3,"2,723",Condo for sale,V6C 3R5
1550000,"4bds2ba1,666sqft- House for sale",4,2,"1,666",House for sale,V5N 4S2
